Course Name,Tee Box Name,Tee Color,Tee Course Rating,Tee Slope Rating,Hole Number,Par,Yardage
Cypress Point Club,White,White,77,143,1,5,403
Cypress Point Club,White,White,77,143,2,5,542
Cypress Point Club,White,White,77,143,3,3,151
Cypress Point Club,White,White,77,143,4,4,369
Cypress Point Club,White,White,77,143,5,5,473
Cypress Point Club,White,White,77,143,6,5,511
Cypress Point Club,White,White,77,143,7,3,159
Cypress Point Club,White,White,77,143,8,4,328
Cypress Point Club,White,White,77,143,9,4,285
Cypress Point Club,White,White,77,143,10,5,477
Cypress Point Club,White,White,77,143,11,5,424
Cypress Point Club,White,White,77,143,12,4,398
Cypress Point Club,White,White,77,143,13,4,341
Cypress Point Club,White,White,77,143,14,4,385
Cypress Point Club,White,White,77,143,15,3,124
Cypress Point Club,White,White,77,143,16,4,218
Cypress Point Club,White,White,77,143,17,4,369
Cypress Point Club,White,White,77,143,18,4,326
Cypress Point Club,Green,Green,74.7,136,1,5,403
Cypress Point Club,Green,Green,74.7,136,2,5,510
Cypress Point Club,Green,Green,74.7,136,3,3,140
Cypress Point Club,Green,Green,74.7,136,4,4,360
Cypress Point Club,Green,Green,74.7,136,5,5,416
Cypress Point Club,Green,Green,74.7,136,6,5,480
Cypress Point Club,Green,Green,74.7,136,7,3,158
Cypress Point Club,Green,Green,74.7,136,8,4,308
Cypress Point Club,Green,Green,74.7,136,9,4,246
Cypress Point Club,Green,Green,74.7,136,10,5,477
Cypress Point Club,Green,Green,74.7,136,11,5,393
Cypress Point Club,Green,Green,74.7,136,12,4,312
Cypress Point Club,Green,Green,74.7,136,13,4,286
Cypress Point Club,Green,Green,74.7,136,14,4,323
Cypress Point Club,Green,Green,74.7,136,15,3,113
Cypress Point Club,Green,Green,74.7,136,16,4,210
Cypress Point Club,Green,Green,74.7,136,17,4,340
Cypress Point Club,Green,Green,74.7,136,18,4,294
Cypress Point Club,Blue,Blue,73.1,141,1,4,417
Cypress Point Club,Blue,Blue,73.1,141,2,5,555
Cypress Point Club,Blue,Blue,73.1,141,3,3,157
Cypress Point Club,Blue,Blue,73.1,141,4,4,382
Cypress Point Club,Blue,Blue,73.1,141,5,5,491
Cypress Point Club,Blue,Blue,73.1,141,6,5,522
Cypress Point Club,Blue,Blue,73.1,141,7,3,170
