Course Name,Tee Box Name,Tee Color,Tee Course Rating,Tee Slope Rating,Hole Number,Par,Yardage
Deep Cliff Gc,Blue,Blue,59.1,93,1,4,273
Deep Cliff Gc,Blue,Blue,59.1,93,2,3,135
Deep Cliff Gc,Blue,Blue,59.1,93,3,3,121
Deep Cliff Gc,Blue,Blue,59.1,93,4,3,160
Deep Cliff Gc,Blue,Blue,59.1,93,5,3,172
Deep Cliff Gc,Blue,Blue,59.1,93,6,4,226
Deep Cliff Gc,Blue,Blue,59.1,93,7,3,130
Deep Cliff Gc,Blue,Blue,59.1,93,8,3,90
Deep Cliff Gc,Blue,Blue,59.1,93,9,4,258
Deep Cliff Gc,Blue,Blue,59.1,93,10,3,140
Deep Cliff Gc,Blue,Blue,59.1,93,11,4,284
Deep Cliff Gc,Blue,Blue,59.1,93,12,4,282
Deep Cliff Gc,Blue,Blue,59.1,93,13,3,188
Deep Cliff Gc,Blue,Blue,59.1,93,14,3,152
Deep Cliff Gc,Blue,Blue,59.1,93,15,4,281
Deep Cliff Gc,Blue,Blue,59.1,93,16,3,123
Deep Cliff Gc,Blue,Blue,59.1,93,17,3,116
Deep Cliff Gc,Blue,Blue,59.1,93,18,3,174
Deep Cliff Gc,WHITE,WHITE,58.4,91,1,4,260
Deep Cliff Gc,WHITE,WHITE,58.4,91,2,3,126
Deep Cliff Gc,WHITE,WHITE,58.4,91,3,3,114
Deep Cliff Gc,WHITE,WHITE,58.4,91,4,3,142
Deep Cliff Gc,WHITE,WHITE,58.4,91,5,3,157
Deep Cliff Gc,WHITE,WHITE,58.4,91,6,4,207
Deep Cliff Gc,WHITE,WHITE,58.4,91,7,3,116
Deep Cliff Gc,WHITE,WHITE,58.4,91,8,3,79
Deep Cliff Gc,WHITE,WHITE,58.4,91,9,4,244
Deep Cliff Gc,WHITE,WHITE,58.4,91,10,3,131
Deep Cliff Gc,WHITE,WHITE,58.4,91,11,4,271
Deep Cliff Gc,WHITE,WHITE,58.4,91,12,4,266
Deep Cliff Gc,WHITE,WHITE,58.4,91,13,3,160
Deep Cliff Gc,WHITE,WHITE,58.4,91,14,3,141
Deep Cliff Gc,WHITE,WHITE,58.4,91,15,4,260
Deep Cliff Gc,WHITE,WHITE,58.4,91,16,3,110
Deep Cliff Gc,WHITE,WHITE,58.4,91,17,3,108
Deep Cliff Gc,WHITE,WHITE,58.4,91,18,3,159
Deep Cliff Gc,Blue,Blue,58.6,91,1,4,273
Deep Cliff Gc,Blue,Blue,58.6,91,2,3,135
Deep Cliff Gc,Blue,Blue,58.6,91,3,3,121
Deep Cliff Gc,Blue,Blue,58.6,91,4,3,160
Deep Cliff Gc,Blue,Blue,58.6,91,5,3,172
Deep Cliff Gc,Blue,Blue,58.6,91,6,4,226
Deep Cliff Gc,Blue,Blue,58.6,91,7,3,130
Deep Cliff Gc,Blue,Blue,58.6,91,8,3,90
Deep Cliff Gc,Blue,Blue,58.6,91,9,4,258
Deep Cliff Gc,Blue,Blue,58.6,91,10,3,140
Deep Cliff Gc,Blue,Blue,58.6,91,11,4,284
Deep Cliff Gc,Blue,Blue,58.6,91,12,4,282
Deep Cliff Gc,Blue,Blue,58.6,91,13,3,188
Deep Cliff Gc,Blue,Blue,58.6,91,14,3,152
Deep Cliff Gc,Blue,Blue,58.6,91,15,4,281
Deep Cliff Gc,Blue,Blue,58.6,91,16,3,123
Deep Cliff Gc,Blue,Blue,58.6,91,17,3,116
Deep Cliff Gc,Blue,Blue,58.6,91,18,3,174
Deep Cliff Gc,White,White,58,90,1,4,260
Deep Cliff Gc,White,White,58,90,2,3,126
Deep Cliff Gc,White,White,58,90,3,3,114
Deep Cliff Gc,White,White,58,90,4,3,142
Deep Cliff Gc,White,White,58,90,5,3,157
Deep Cliff Gc,White,White,58,90,6,4,207
Deep Cliff Gc,White,White,58,90,7,3,116
Deep Cliff Gc,White,White,58,90,8,3,79
Deep Cliff Gc,White,White,58,90,9,4,244
Deep Cliff Gc,White,White,58,90,10,3,131
Deep Cliff Gc,White,White,58,90,11,4,271
Deep Cliff Gc,White,White,58,90,12,4,266
Deep Cliff Gc,White,White,58,90,13,3,160
Deep Cliff Gc,White,White,58,90,14,3,141
Deep Cliff Gc,White,White,58,90,15,4,260
Deep Cliff Gc,White,White,58,90,16,3,110
Deep Cliff Gc,White,White,58,90,17,3,108
Deep Cliff Gc,White,White,58,90,18,3,159
