Course Name,Tee Box Name,Tee Color,Tee Course Rating,Tee Slope Rating,Hole Number,Par,Yardage
Farm D'Allie Golf Club,Silver,Silver,74.9,135,1,5,513
Farm D'Allie Golf Club,Silver,Silver,74.9,135,2,4,333
Farm D'Allie Golf Club,Silver,Silver,74.9,135,3,3,132
Farm D'Allie Golf Club,Silver,Silver,74.9,135,4,5,491
Farm D'Allie Golf Club,Silver,Silver,74.9,135,5,4,419
Farm D'Allie Golf Club,Silver,Silver,74.9,135,6,4,319
Farm D'Allie Golf Club,Silver,Silver,74.9,135,7,3,165
Farm D'Allie Golf Club,Silver,Silver,74.9,135,8,4,302
Farm D'Allie Golf Club,Silver,Silver,74.9,135,9,4,385
Farm D'Allie Golf Club,Silver,Silver,74.9,135,10,4,311
Farm D'Allie Golf Club,Silver,Silver,74.9,135,11,5,450
Farm D'Allie Golf Club,Silver,Silver,74.9,135,12,4,316
Farm D'Allie Golf Club,Silver,Silver,74.9,135,13,3,147
Farm D'Allie Golf Club,Silver,Silver,74.9,135,14,4,330
Farm D'Allie Golf Club,Silver,Silver,74.9,135,15,4,332
Farm D'Allie Golf Club,Silver,Silver,74.9,135,16,4,380
Farm D'Allie Golf Club,Silver,Silver,74.9,135,17,3,182
Farm D'Allie Golf Club,Silver,Silver,74.9,135,18,5,530
Farm D'Allie Golf Club,Tan,Tan,72.4,126,1,5,486
Farm D'Allie Golf Club,Tan,Tan,72.4,126,2,4,293
Farm D'Allie Golf Club,Tan,Tan,72.4,126,3,3,109
Farm D'Allie Golf Club,Tan,Tan,72.4,126,4,5,456
Farm D'Allie Golf Club,Tan,Tan,72.4,126,5,4,378
Farm D'Allie Golf Club,Tan,Tan,72.4,126,6,4,295
Farm D'Allie Golf Club,Tan,Tan,72.4,126,7,3,143
Farm D'Allie Golf Club,Tan,Tan,72.4,126,8,4,268
Farm D'Allie Golf Club,Tan,Tan,72.4,126,9,4,348
Farm D'Allie Golf Club,Tan,Tan,72.4,126,10,4,275
Farm D'Allie Golf Club,Tan,Tan,72.4,126,11,5,435
Farm D'Allie Golf Club,Tan,Tan,72.4,126,12,4,288
Farm D'Allie Golf Club,Tan,Tan,72.4,126,13,3,132
Farm D'Allie Golf Club,Tan,Tan,72.4,126,14,4,309
Farm D'Allie Golf Club,Tan,Tan,72.4,126,15,4,308
Farm D'Allie Golf Club,Tan,Tan,72.4,126,16,4,349
Farm D'Allie Golf Club,Tan,Tan,72.4,126,17,3,144
Farm D'Allie Golf Club,Tan,Tan,72.4,126,18,5,520
Farm D'Allie Golf Club,Green/Tan,Green/Tan,70.2,120,1,5,486
Farm D'Allie Golf Club,Green/Tan,Green/Tan,70.2,120,2,4,269
Farm D'Allie Golf Club,Green/Tan,Green/Tan,70.2,120,3,3,96
Farm D'Allie Golf Club,Green/Tan,Green/Tan,70.2,120,4,5,400
Farm D'Allie Golf Club,Green/Tan,Green/Tan,70.2,120,5,4,378
Farm D'Allie Golf Club,Green/Tan,Green/Tan,70.2,120,6,4,278
Farm D'Allie Golf Club,Green/Tan,Green/Tan,70.2,120,7,3,114
Farm D'Allie Golf Club,Green/Tan,Green/Tan,70.2,120,8,4,217
Farm D'Allie Golf Club,Green/Tan,Green/Tan,70.2,120,9,4,340
Farm D'Allie Golf Club,Green/Tan,Green/Tan,70.2,120,10,4,256
Farm D'Allie Golf Club,Green/Tan,Green/Tan,70.2,120,11,5,412
Farm D'Allie Golf Club,Green/Tan,Green/Tan,70.2,120,12,4,257
Farm D'Allie Golf Club,Green/Tan,Green/Tan,70.2,120,13,3,82
Farm D'Allie Golf Club,Green/Tan,Green/Tan,70.2,120,14,4,269
Farm D'Allie Golf Club,Green/Tan,Green/Tan,70.2,120,15,4,285
Farm D'Allie Golf Club,Green/Tan,Green/Tan,70.2,120,16,4,349
Farm D'Allie Golf Club,Green/Tan,Green/Tan,70.2,120,17,3,125
Farm D'Allie Golf Club,Green/Tan,Green/Tan,70.2,120,18,5,520
Farm D'Allie Golf Club,Green,Green,69.1,114,1,5,440
Farm D'Allie Golf Club,Green,Green,69.1,114,2,4,269
Farm D'Allie Golf Club,Green,Green,69.1,114,3,3,96
Farm D'Allie Golf Club,Green,Green,69.1,114,4,5,400
Farm D'Allie Golf Club,Green,Green,69.1,114,5,4,343
Farm D'Allie Golf Club,Green,Green,69.1,114,6,4,278
Farm D'Allie Golf Club,Green,Green,69.1,114,7,3,114
Farm D'Allie Golf Club,Green,Green,69.1,114,8,4,217
Farm D'Allie Golf Club,Green,Green,69.1,114,9,4,340
Farm D'Allie Golf Club,Green,Green,69.1,114,10,4,256
Farm D'Allie Golf Club,Green,Green,69.1,114,11,5,412
Farm D'Allie Golf Club,Green,Green,69.1,114,12,4,257
Farm D'Allie Golf Club,Green,Green,69.1,114,13,3,82
Farm D'Allie Golf Club,Green,Green,69.1,114,14,4,269
Farm D'Allie Golf Club,Green,Green,69.1,114,15,4,285
Farm D'Allie Golf Club,Green,Green,69.1,114,16,4,318
Farm D'Allie Golf Club,Green,Green,69.1,114,17,3,125
Farm D'Allie Golf Club,Green,Green,69.1,114,18,5,422
Farm D'Allie Golf Club,Black,Black,73.5,135,1,5,548
Farm D'Allie Golf Club,Black,Black,73.5,135,2,4,388
Farm D'Allie Golf Club,Black,Black,73.5,135,3,3,174
Farm D'Allie Golf Club,Black,Black,73.5,135,4,5,530
Farm D'Allie Golf Club,Black,Black,73.5,135,5,4,463
Farm D'Allie Golf Club,Black,Black,73.5,135,6,4,369
Farm D'Allie Golf Club,Black,Black,73.5,135,7,3,196
Farm D'Allie Golf Club,Black,Black,73.5,135,8,4,379
Farm D'Allie Golf Club,Black,Black,73.5,135,9,4,435
Farm D'Allie Golf Club,Black,Black,73.5,135,10,4,353
Farm D'Allie Golf Club,Black,Black,73.5,135,11,5,506
Farm D'Allie Golf Club,Black,Black,73.5,135,12,4,367
Farm D'Allie Golf Club,Black,Black,73.5,135,13,3,185
Farm D'Allie Golf Club,Black,Black,73.5,135,14,4,376
Farm D'Allie Golf Club,Black,Black,73.5,135,15,4,385
Farm D'Allie Golf Club,Black,Black,73.5,135,16,4,450
Farm D'Allie Golf Club,Black,Black,73.5,135,17,3,227
Farm D'Allie Golf Club,Black,Black,73.5,135,18,5,584
Farm D'Allie Golf Club,Yellow,Yellow,71.2,127,1,5,530
Farm D'Allie Golf Club,Yellow,Yellow,71.2,127,2,4,360
Farm D'Allie Golf Club,Yellow,Yellow,71.2,127,3,3,150
Farm D'Allie Golf Club,Yellow,Yellow,71.2,127,4,5,524
Farm D'Allie Golf Club,Yellow,Yellow,71.2,127,5,4,441
Farm D'Allie Golf Club,Yellow,Yellow,71.2,127,6,4,345
