Course Name,Tee Box Name,Tee Color,Tee Course Rating,Tee Slope Rating,Hole Number,Par,Yardage
Pebble Beach Gl,Gold,Gold,78,142,1,4,349
Pebble Beach Gl,Gold,Gold,78,142,2,5,458
Pebble Beach Gl,Gold,Gold,78,142,3,4,381
Pebble Beach Gl,Gold,Gold,78,142,4,4,308
Pebble Beach Gl,Gold,Gold,78,142,5,3,145
Pebble Beach Gl,Gold,Gold,78,142,6,5,490
Pebble Beach Gl,Gold,Gold,78,142,7,3,98
Pebble Beach Gl,Gold,Gold,78,142,8,4,388
Pebble Beach Gl,Gold,Gold,78,142,9,4,463
Pebble Beach Gl,Gold,Gold,78,142,10,4,428
Pebble Beach Gl,Gold,Gold,78,142,11,4,349
Pebble Beach Gl,Gold,Gold,78,142,12,3,187
Pebble Beach Gl,Gold,Gold,78,142,13,4,390
Pebble Beach Gl,Gold,Gold,78,142,14,5,570
Pebble Beach Gl,Gold,Gold,78,142,15,4,375
Pebble Beach Gl,Gold,Gold,78,142,16,4,378
Pebble Beach Gl,Gold,Gold,78,142,17,3,176
Pebble Beach Gl,Gold,Gold,78,142,18,5,531
Pebble Beach Gl,White,White,76.2,139,1,4,337
Pebble Beach Gl,White,White,76.2,139,2,5,428
Pebble Beach Gl,White,White,76.2,139,3,4,340
Pebble Beach Gl,White,White,76.2,139,4,4,295
Pebble Beach Gl,White,White,76.2,139,5,3,134
Pebble Beach Gl,White,White,76.2,139,6,5,465
Pebble Beach Gl,White,White,76.2,139,7,3,94
Pebble Beach Gl,White,White,76.2,139,8,4,364
Pebble Beach Gl,White,White,76.2,139,9,4,436
Pebble Beach Gl,White,White,76.2,139,10,4,408
Pebble Beach Gl,White,White,76.2,139,11,4,338
Pebble Beach Gl,White,White,76.2,139,12,3,176
Pebble Beach Gl,White,White,76.2,139,13,4,370
Pebble Beach Gl,White,White,76.2,139,14,5,551
Pebble Beach Gl,White,White,76.2,139,15,4,338
Pebble Beach Gl,White,White,76.2,139,16,4,368
Pebble Beach Gl,White,White,76.2,139,17,3,166
Pebble Beach Gl,White,White,76.2,139,18,5,506
Pebble Beach Gl,Green,Green,72.9,134,1,4,334
Pebble Beach Gl,Green,Green,72.9,134,2,5,426
Pebble Beach Gl,Green,Green,72.9,134,3,4,280
Pebble Beach Gl,Green,Green,72.9,134,4,4,251
Pebble Beach Gl,Green,Green,72.9,134,5,3,131
Pebble Beach Gl,Green,Green,72.9,134,6,5,420
Pebble Beach Gl,Green,Green,72.9,134,7,3,92
Pebble Beach Gl,Green,Green,72.9,134,8,4,363
Pebble Beach Gl,Green,Green,72.9,134,9,4,333
Pebble Beach Gl,Green,Green,72.9,134,10,4,340
Pebble Beach Gl,Green,Green,72.9,134,11,4,300
Pebble Beach Gl,Green,Green,72.9,134,12,3,176
Pebble Beach Gl,Green,Green,72.9,134,13,4,288
Pebble Beach Gl,Green,Green,72.9,134,14,5,435
Pebble Beach Gl,Green,Green,72.9,134,15,4,336
Pebble Beach Gl,Green,Green,72.9,134,16,4,309
Pebble Beach Gl,Green,Green,72.9,134,17,3,166
Pebble Beach Gl,Green,Green,72.9,134,18,5,501
Pebble Beach Gl,Red,Red,71.7,132,1,4,310
Pebble Beach Gl,Red,Red,71.7,132,2,5,358
Pebble Beach Gl,Red,Red,71.7,132,3,4,280
Pebble Beach Gl,Red,Red,71.7,132,4,4,251
Pebble Beach Gl,Red,Red,71.7,132,5,3,111
Pebble Beach Gl,Red,Red,71.7,132,6,5,420
Pebble Beach Gl,Red,Red,71.7,132,7,3,87
Pebble Beach Gl,Red,Red,71.7,132,8,4,349
Pebble Beach Gl,Red,Red,71.7,132,9,4,333
Pebble Beach Gl,Red,Red,71.7,132,10,4,340
Pebble Beach Gl,Red,Red,71.7,132,11,4,300
Pebble Beach Gl,Red,Red,71.7,132,12,3,167
