Course Name,Tee Box Name,Tee Color,Tee Course Rating,Tee Slope Rating,Hole Number,Par,Yardage
Port Augusta Golf Club,"50715, USGA, Red, Women",,73.3,120,1,4,361
Port Augusta Golf Club,"50715, USGA, Red, Women",,73.3,120,2,5,472
Port Augusta Golf Club,"50715, USGA, Red, Women",,73.3,120,3,3,152
Port Augusta Golf Club,"50715, USGA, Red, Women",,73.3,120,4,3,162
Port Augusta Golf Club,"50715, USGA, Red, Women",,73.3,120,5,4,368
Port Augusta Golf Club,"50715, USGA, Red, Women",,73.3,120,6,5,400
Port Augusta Golf Club,"50715, USGA, Red, Women",,73.3,120,7,4,343
Port Augusta Golf Club,"50715, USGA, Red, Women",,73.3,120,8,4,349
Port Augusta Golf Club,"50715, USGA, Red, Women",,73.3,120,9,4,333
Port Augusta Golf Club,"50715, USGA, Red, Women",,73.3,120,10,3,170
Port Augusta Golf Club,"50715, USGA, Red, Women",,73.3,120,11,3,140
Port Augusta Golf Club,"50715, USGA, Red, Women",,73.3,120,12,4,328
Port Augusta Golf Club,"50715, USGA, Red, Women",,73.3,120,13,4,334
Port Augusta Golf Club,"50715, USGA, Red, Women",,73.3,120,14,5,419
Port Augusta Golf Club,"50715, USGA, Red, Women",,73.3,120,15,4,336
Port Augusta Golf Club,"50715, USGA, Red, Women",,73.3,120,16,4,337
Port Augusta Golf Club,"50715, USGA, Red, Women",,73.3,120,17,5,435
Port Augusta Golf Club,"50715, USGA, Red, Women",,73.3,120,18,4,329
Port Augusta Golf Club,"50715, USGA, Orange, Women",,58.6,87,1,3,197
Port Augusta Golf Club,"50715, USGA, Orange, Women",,58.6,87,2,4,289
Port Augusta Golf Club,"50715, USGA, Orange, Women",,58.6,87,3,3,140
Port Augusta Golf Club,"50715, USGA, Orange, Women",,58.6,87,4,3,100
Port Augusta Golf Club,"50715, USGA, Orange, Women",,58.6,87,5,3,185
Port Augusta Golf Club,"50715, USGA, Orange, Women",,58.6,87,6,4,210
Port Augusta Golf Club,"50715, USGA, Orange, Women",,58.6,87,7,3,168
Port Augusta Golf Club,"50715, USGA, Orange, Women",,58.6,87,8,3,153
Port Augusta Golf Club,"50715, USGA, Orange, Women",,58.6,87,9,3,196
Port Augusta Golf Club,"50715, USGA, Orange, Women",,58.6,87,10,3,113
Port Augusta Golf Club,"50715, USGA, Orange, Women",,58.6,87,11,3,105
Port Augusta Golf Club,"50715, USGA, Orange, Women",,58.6,87,12,3,136
Port Augusta Golf Club,"50715, USGA, Orange, Women",,58.6,87,13,4,221
Port Augusta Golf Club,"50715, USGA, Orange, Women",,58.6,87,14,4,208
Port Augusta Golf Club,"50715, USGA, Orange, Women",,58.6,87,15,3,190
Port Augusta Golf Club,"50715, USGA, Orange, Women",,58.6,87,16,4,219
Port Augusta Golf Club,"50715, USGA, Orange, Women",,58.6,87,17,4,278
Port Augusta Golf Club,"50715, USGA, Orange, Women",,58.6,87,18,3,197
Port Augusta Golf Club,"50715, USGA, Blue, Men",,70.1,117,1,4,388
Port Augusta Golf Club,"50715, USGA, Blue, Men",,70.1,117,2,5,561
Port Augusta Golf Club,"50715, USGA, Blue, Men",,70.1,117,3,3,163
Port Augusta Golf Club,"50715, USGA, Blue, Men",,70.1,117,4,3,182
Port Augusta Golf Club,"50715, USGA, Blue, Men",,70.1,117,5,4,376
